name,n_issues,nh_length
"Maplewood Road",4,0.07520791578006163
"Dyer Street",24,0.7525483076643857
"Gilbert Street",4,0.1170366946457206
"Newhall Street",98,0.2454746638814163
"Constance Baker Motley Street",1,0.08253972394013633
"Frederick Street",25,0.250704393896455
"Legion Avenue",21,1.044850677674863
"Greenwich Avenue",100,0.2219063514762855
"Meadow Street",11,0.04004688588416032
"John Williamson Drive",1,0.08974772942744913
"Milton Street",13,0.1617582561212566
"Maltby Place",11,0.03771997960463681
"Ford Street",2,0.1625886622628432
"Westerleigh Road",33,0.2838441614794638
"Revere Street",15,0.1153552522527076
"Fox Street",5,0.1067533555343522
"Fitch Street",29,1.142163767551448
"Starr Street",24,0.7016030678777457
"1st Street",8,0.2346229683910507
"Rock Hill Road",10,0.09010471307228685
"Saltonstall Avenue",32,0.6818528189972652
"Russell Street",151,1.108870312009489
"North Frontage Road",3,0.457429881644533
"South Water Street",38,0.2730206834967846
"Orange Avenue",1,0.1065050998852327
"West Hills Road",8,0.0931012011423453
"Pitkin Street",3,0.02447758433215916
"Elizabeth Ann Drive",48,0.1394110037644929
"Parkside Drive",5,0.2059510457542334
"Canner Street",122,1.066098973603827
"Sperry Street",14,0.06344869536347288
"Fair Street",14,0.2555148137753888
"Daggett Street",13,0.1712315992169128
"Edgehill Road",38,0.129443149109202
"Woodside Terrace",7,0.04930736545308607
"Green Hill Terrace",16,0.2174092854633571
"Hervey Street",57,0.2409162221284187
"Prince Street",1,0.07040446936468957
"Aner Street",1,0.183474612396368
"Redfield Street",18,0.1229750876689235
"Cabot Street",3,0.0918248627403688
"Irvington Street",11,0.313716048732599
"Kohary Drive",19,0.2739793333860653
"Hawthorne Road",8,0.05932995897691758
"Pleasant Street",15,0.08622631493983593
"Fiore Street",10,0.08968592761162533
"South Orange Street",5,0.1328315685358962
"Benton Street",7,0.07233536565415717
"Judwin Avenue",28,0.5927162392100146
"Lloyd Street",56,0.2019659363409148
"Foster Street",105,0.3627331907472415
"Mechanic Street",123,0.1981410482762794
"East Grand Avenue",74,0.6515628298560004
"Marin Road",2,0.0482321402872364
"Albert Street",4,0.140328681039678
"Dwight Street",115,0.3809512104661048
"Cave Street",6,0.1527835404738744
"Bristol Place",1,0.05230020633873703
"Church Street",247,0.637480291310187
"Orchard Place",7,0.1419222592037589
"Sherman Avenue",128,1.072585901896185
"Welton Street",11,0.1093990729399358
"Hillhouse Avenue",30,0.1525345039464147
"Howard Avenue",223,0.7518805611941241
"Fairmont Avenue",52,0.2844030139579769
"Myron Street",37,0.3229275631314654
"Hotchkiss Street",14,0.06343578327188648
"Winchester Avenue",184,0.5939694117891789
"Sheffield Avenue",31,0.1877585973034657
"Parmelee Avenue",15,0.3564732405877878
"Anthony Street",29,0.1532071856685678
"Fulton Street",14,0.462977559795916
"Old Foxon Road",4,0.0524017785238601
"Whitney Avenue",261,0.8066341453506873
"Woolsey Street",15,0.4261200736283416
"Conrad Drive",9,0.7235529903444891
"Willow Street",187,1.0796406661189
"Livingston Street",128,0.5061122064255548
"Edgar Street",3,0.03685762986171238
"Colony Road",77,0.3082192133830997
"Lyon Street",77,0.279756764943439
"Clinton Avenue",142,0.3225834062336465
"Union Street",48,0.1261527037189711
"Lawrence Street",87,0.8191651886101224
"Alden Street",8,0.1047700422269603
"Downes Street",5,0.03782310658609497
"Pond Street",40,0.2664686997846735
"Congress Avenue",44,1.304457656409556
"Hemingway Street",40,0.4424295996939174
"Hamilton Street",33,0.2257308025497653
